"P1","P2","P3","P4","Hypothesis","GoldLabel"
"several other people , including one person are in an underground facility.","one person dressed as batman.","A swat team are in an underground facility.","A swat team are in an underground facility.","The odd person dressed up like a giant bat, instructed the swat team and other concerned citizens on how they were going to corner the notorious Penguin.","neutral"
"white bird standing on hand of someone.","someone holding sunflower seeds.","Black bird standing on hand of someone.","white bird standing on hand of someone.","A person holds their pet bird and is about to feed it some seeds.","neutral"
"another young woman leaning on a wall.","another young woman talking on the phone.","A young woman walks by another young woman.","A young woman walks by another young woman.","They are swimming in a lake.","contradiction"
"the street wearing red.","the street wearing white.","A man is walking down the street.","the street wearing white.","Someone is running down the hill.","contradiction"
"A young shirtless man in black shorts stands on a snowy cliff.","A young shirtless man in red shorts stands on a snowy cliff.","A young shirtless man looks out over the lake.","A young shirtless man in red shorts stands on a snowy cliff.","A person is on a cliff, readying a kayak to ride on the lake.","contradiction"
"a woman wearing yellow sunglasses.","a woman holding a suitcase.","A man on stilts walks behind a woman.","a woman wearing yellow sunglasses.","A circus performer and his girlfriend who is about to leave him","neutral"
"Woman sitting on holding the leash of a large brown dog.","Woman sitting on holding the leash of a large white dog.","Woman sitting on bench.","Woman sitting on bench.","The woman has brown hair.","neutral"
"the man in the glasses to be saying something funny.","the man in the glasses appears .","Several gentlemen are speaking into a microphone.","the man in the glasses to be saying something funny.","Two women are speaking into a microphone.","contradiction"
"A large group of children with four adult women are standing on a path.","A large group of children with backpacks are standing on a path.","some are standing by the directory sign.","some are standing by the directory sign.","There is a small group of children sitting.","contradiction"
"A little girl possibly crying .","some steps covering her face.","A little girl sitting on some steps.","some steps covering her face.","A little girl is jumping with joy over her dead pet fish.","contradiction"
"A dark - haired woman in a red bikini is playing volleyball under a cloudy sky.","A dark - haired woman in a black bikini is playing volleyball under a cloudy sky.","sunglasses is playing volleyball under a cloudy sky.","A dark - haired woman in a black bikini is playing volleyball under a cloudy sky.","A women shopping in the mall.","contradiction"
"a man wearing a white shirt.","a man squatting down.","A man in a black shirt is talking to a man.","A man in a black shirt is talking to a man.","two men are skydiving","contradiction"
"she is carrying a mannequin.","a street talking on the phone.","A woman walking on a street.","a street talking on the phone.","The woman is carrying a child.","contradiction"
"a polo shirt is carrying a garbage bag out of an empty lot with another man.","another man following him.","A young man in shorts is carrying a garbage bag out of an empty lot with another man.","a polo shirt is carrying a garbage bag out of an empty lot with another man.","The young man is asleep in his bedroom.","contradiction"
"Several people , including a man in a two women acquire food from a buffet table.","a two women wearing black.","Several people , including a man in a blue shirt acquire food from a buffet table.","Several people , including a man in a two women acquire food from a buffet table.","Several people are ordering food a la carte.","contradiction"
